Date,Closing Price (USD)
24/11/2015,320.99
25/11/2015,318.34
26/11/2015,332.47
27/11/2015,349.14
28/11/2015,354.95
29/11/2015,356.81
30/11/2015,375.20
12/01/2015,377.80
12/02/2015,352.13
12/03/2015,366.79
12/04/2015,358.44
12/05/2015,369.96
12/06/2015,394.86
12/07/2015,391.62
12/08/2015,395.59
12/09/2015,421.42
12/10/2015,415.08
12/11/2015,421.81
12/12/2015,467.83
13/12/2015,435.09
14/12/2015,437.02
15/12/2015,453.68
16/12/2015,445.81
17/12/2015,451.10
18/12/2015,456.43
19/12/2015,464.22
20/12/2015,460.24
21/12/2015,435.64
22/12/2015,438.28
23/12/2015,437.99
24/12/2015,456.57
25/12/2015,455.74
26/12/2015,447.61
27/12/2015,419.34
28/12/2015,427.82
29/12/2015,422.74
30/12/2015,431.03
31/12/2015,424.96
01/01/2016,432.36
01/02/2016,433.77
01/03/2016,431.99
01/04/2016,431.69
01/05/2016,433.73
01/06/2016,427.16
01/07/2016,441.02
01/08/2016,457.17
01/09/2016,452.37
01/10/2016,445.33
01/11/2016,450.31
01/12/2016,446.61
13/01/2016,431.16
14/01/2016,431.41
15/01/2016,416.29
16/01/2016,372.74
17/01/2016,383.14
18/01/2016,380.82
19/01/2016,382.74
20/01/2016,378.78
21/01/2016,417.44
22/01/2016,403.27
23/01/2016,388.22
24/01/2016,388.54
25/01/2016,397.89
26/01/2016,390.72
27/01/2016,392.39
28/01/2016,381.36
29/01/2016,369.13
30/01/2016,376.95
31/01/2016,378.17
02/01/2016,372.16
02/02/2016,372.45
02/03/2016,372.76
02/04/2016,370.43
02/05/2016,386.95
02/06/2016,377.89
02/07/2016,376.44
02/08/2016,376.92
02/09/2016,372.43
02/10/2016,374.76
02/11/2016,379.19
02/12/2016,378.58
13/02/2016,388.87
14/02/2016,397.23
15/02/2016,405.62
16/02/2016,401.66
17/02/2016,407.02
18/02/2016,417.49
19/02/2016,421.96
20/02/2016,422.05
21/02/2016,439.61
22/02/2016,436.14
23/02/2016,438.75
24/02/2016,419.90
25/02/2016,422.62
26/02/2016,421.24
27/02/2016,433.40
28/02/2016,425.50
29/02/2016,438.28
03/01/2016,436.43
03/02/2016,434.00
03/03/2016,419.25
03/04/2016,421.60
03/05/2016,407.72
03/06/2016,397.88
03/07/2016,407.28
03/08/2016,414.21
03/09/2016,410.74
03/10/2016,411.67
03/11/2016,416.71
03/12/2016,415.04
13/03/2016,411.64
14/03/2016,414.21
15/03/2016,416.03
16/03/2016,414.17
17/03/2016,417.14
18/03/2016,417.15
19/03/2016,407.47
20/03/2016,409.24
21/03/2016,407.50
22/03/2016,415.13
23/03/2016,417.32
24/03/2016,415.84
25/03/2016,414.76
26/03/2016,416.85
27/03/2016,416.23
28/03/2016,424.30
29/03/2016,423.60
30/03/2016,414.61
31/03/2016,414.46
04/01/2016,416.01
04/02/2016,418.79
04/03/2016,418.94
04/04/2016,418.59
04/05/2016,422.04
04/06/2016,422.29
04/07/2016,420.55
04/08/2016,421.62
04/09/2016,415.75
04/10/2016,418.08
04/11/2016,421.19
04/12/2016,426.38
13/04/2016,426.84
14/04/2016,425.49
15/04/2016,426.28
16/04/2016,429.78
17/04/2016,430.45
18/04/2016,429.32
19/04/2016,428.52
20/04/2016,435.93
21/04/2016,443.76
22/04/2016,446.78
23/04/2016,447.23
24/04/2016,455.15
25/04/2016,458.63
26/04/2016,464.43
27/04/2016,466.06
28/04/2016,441.30
29/04/2016,446.24
30/04/2016,454.38
05/01/2016,449.11
05/02/2016,453.07
05/03/2016,443.68
05/04/2016,449.16
05/05/2016,447.74
05/06/2016,447.59
05/07/2016,458.86
05/08/2016,459.94
05/09/2016,458.71
05/10/2016,460.95
05/11/2016,454.39
05/12/2016,451.16
13/05/2016,453.70
14/05/2016,456.04
15/05/2016,456.09
16/05/2016,457.64
17/05/2016,454.28
18/05/2016,454.06
19/05/2016,453.49
20/05/2016,440.23
21/05/2016,442.95
22/05/2016,442.89
23/05/2016,440.55
24/05/2016,444.49
25/05/2016,447.04
26/05/2016,448.28
27/05/2016,467.26
28/05/2016,489.85
29/05/2016,516.05
30/05/2016,529.92
31/05/2016,537.23
06/01/2016,528.05
06/02/2016,538.57
06/03/2016,537.19
06/04/2016,571.14
06/05/2016,579.34
06/06/2016,578.85
06/07/2016,585.40
06/08/2016,576.23
06/09/2016,580.44
06/10/2016,574.95
06/11/2016,583.87
06/12/2016,633.21
13/06/2016,682.23
14/06/2016,695.16
15/06/2016,685.44
16/06/2016,732.36
17/06/2016,773.25
18/06/2016,736.39
19/06/2016,747.83
20/06/2016,758.90
21/06/2016,702.70
22/06/2016,657.01
23/06/2016,581.25
24/06/2016,657.09
25/06/2016,687.17
26/06/2016,657.22
27/06/2016,644.09
28/06/2016,655.94
29/06/2016,634.36
30/06/2016,635.09
07/01/2016,683.29
07/02/2016,678.57
07/03/2016,690.18
07/04/2016,670.74
07/05/2016,679.35
07/06/2016,676.87
07/07/2016,671.81
07/08/2016,640.48
07/09/2016,654.85
07/10/2016,649.36
07/11/2016,656.75
07/12/2016,648.14
13/07/2016,663.44
14/07/2016,654.02
15/07/2016,663.64
16/07/2016,666.56
17/07/2016,665.11
18/07/2016,681.24
19/07/2016,673.83
20/07/2016,673.01
21/07/2016,662.03
22/07/2016,666.75
23/07/2016,654.73
24/07/2016,654.90
25/07/2016,660.28
26/07/2016,655.42
27/07/2016,650.83
28/07/2016,656.92
29/07/2016,655.43
30/07/2016,656.68
31/07/2016,635.59
08/01/2016,621.37
08/02/2016,601.23
08/03/2016,555.93
08/04/2016,578.52
08/05/2016,570.34
08/06/2016,574.87
08/07/2016,588.52
08/08/2016,589.66
08/09/2016,586.72
08/10/2016,585.24
08/11/2016,594.82
08/12/2016,581.96
13/08/2016,584.87
14/08/2016,581.65
15/08/2016,571.96
16/08/2016,567.61
17/08/2016,575.54
18/08/2016,572.37
19/08/2016,573.02
20/08/2016,573.08
21/08/2016,581.35
22/08/2016,579.67
23/08/2016,585.51
24/08/2016,577.99
25/08/2016,574.58
26/08/2016,575.06
27/08/2016,575.34
28/08/2016,568.79
29/08/2016,574.50
30/08/2016,571.94
31/08/2016,573.78
09/01/2016,572.96
09/02/2016,570.10
09/03/2016,572.52
09/04/2016,596.45
09/05/2016,606.05
09/06/2016,604.47
09/07/2016,609.43
09/08/2016,613.67
09/09/2016,623.60
09/10/2016,620.60
09/11/2016,622.03
09/12/2016,604.83
13/09/2016,607.04
14/09/2016,606.89
15/09/2016,606.90
16/09/2016,605.52
17/09/2016,606.05
18/09/2016,605.08
19/09/2016,609.37
20/09/2016,606.72
21/09/2016,595.93
22/09/2016,596.23
23/09/2016,595.02
24/09/2016,602.41
25/09/2016,601.37
26/09/2016,598.91
27/09/2016,605.02
28/09/2016,602.89
29/09/2016,603.58
30/09/2016,604.52
10/01/2016,610.58
10/02/2016,613.24
10/03/2016,611.89
10/04/2016,609.50
10/05/2016,608.13
10/06/2016,610.57
10/07/2016,610.23
10/08/2016,617.45
10/09/2016,614.60
10/10/2016,615.92
10/11/2016,618.33
10/12/2016,637.22
13/10/2016,637.74
14/10/2016,635.88
15/10/2016,638.98
16/10/2016,638.61
17/10/2016,636.64
18/10/2016,637.02
19/10/2016,634.61
20/10/2016,626.37
21/10/2016,629.61
22/10/2016,630.62
23/10/2016,650.90
24/10/2016,647.69
25/10/2016,652.24
26/10/2016,657.06
27/10/2016,684.38
28/10/2016,684.30
29/10/2016,700.14
30/10/2016,704.91
31/10/2016,693.90
11/01/2016,708.96
11/02/2016,725.69
11/03/2016,741.85
11/04/2016,701.22
11/05/2016,702.18
11/06/2016,705.48
11/07/2016,705.47
11/08/2016,706.13
11/09/2016,728.36
11/10/2016,719.25
11/11/2016,714.57
11/12/2016,715.77
13/11/2016,694.72
14/11/2016,704.62
15/11/2016,711.40
16/11/2016,710.93
17/11/2016,745.93
18/11/2016,738.67
19/11/2016,748.81
20/11/2016,752.55
21/11/2016,730.37
22/11/2016,734.84
23/11/2016,745.98
24/11/2016,739.82
25/11/2016,730.31
26/11/2016,737.40
27/11/2016,727.45
28/11/2016,731.90
29/11/2016,731.13
30/11/2016,731.64
12/01/2016,744.10
12/02/2016,766.59
12/03/2016,769.92
12/04/2016,764.36
12/05/2016,760.10
12/06/2016,754.83
12/07/2016,758.35
12/08/2016,763.24
12/09/2016,766.87
12/10/2016,773.28
12/11/2016,765.95
12/12/2016,769.83
13/12/2016,774.39
14/12/2016,778.36
15/12/2016,776.98
16/12/2016,776.42
17/12/2016,786.97
18/12/2016,789.25
19/12/2016,791.00
20/12/2016,789.23
21/12/2016,805.80
22/12/2016,842.64
23/12/2016,910.93
24/12/2016,910.25
25/12/2016,870.13
26/12/2016,905.46
